symbol,output_size,window_size,data_mode,C,gamma,max_string_lenght,val_score,test_score,balance_score
AMZN,7,7,0,10000.0,scale,500,0.45454545454545453,0.625,0.6296296296296297
MSFT,14,3,2,1000.0,scale,10000,0.45454545454545453,0.22448979591836735,0.15625
AMZN,7,3,0,10000.0,scale,500,0.45454545454545453,0.625,0.6296296296296297
GOOGL,3,3,0,10000.0,scale,500,0.45454545454545453,0.5666666666666667,0.5
GOOGL,3,3,0,100000.0,scale,500,0.45454545454545453,0.5166666666666667,0.4423076923076923
GOOGL,3,7,1,1000.0,scale,500,0.45454545454545453,0.5666666666666667,0.5
GOOGL,3,7,1,10000.0,scale,500,0.45454545454545453,0.5666666666666667,0.5
GOOGL,3,7,0,10000.0,scale,500,0.45454545454545453,0.5666666666666667,0.5
GOOGL,3,7,0,100000.0,scale,500,0.45454545454545453,0.5166666666666667,0.4423076923076923
AAPL,3,14,2,10000.0,scale,1000,0.5,0.5833333333333334,0.6538461538461539
AAPL,3,14,2,100000.0,scale,1000,0.5,0.5833333333333334,0.6538461538461539
GOOGL,3,3,0,1000.0,scale,500,0.5,0.5166666666666667,0.4423076923076923
TSLA,3,3,2,10000.0,scale,20000,0.5,0.5333333333333333,0.5517241379310345
GOOGL,7,3,2,1000.0,scale,20000,0.5,0.6071428571428571,0.66
GOOGL,7,3,2,100000.0,scale,10000,0.5,0.6071428571428571,0.66
GOOGL,7,3,2,10000.0,scale,10000,0.5,0.6071428571428571,0.66
GOOGL,7,3,2,1000.0,scale,10000,0.5,0.6071428571428571,0.66
GOOGL,7,7,1,100000.0,scale,500,0.5,0.6964285714285714,0.66
GOOGL,7,7,1,10000.0,scale,500,0.5,0.6964285714285714,0.66
AAPL,3,14,2,1000.0,scale,1000,0.5,0.5833333333333334,0.6538461538461539
TSLA,3,3,2,100000.0,scale,20000,0.5,0.5333333333333333,0.5517241379310345
TSLA,3,3,2,1000.0,scale,20000,0.5,0.5333333333333333,0.5517241379310345
TSLA,3,3,2,100000.0,scale,10000,0.5,0.5333333333333333,0.5517241379310345
GOOGL,3,7,0,1000.0,scale,500,0.5,0.5166666666666667,0.4423076923076923
GOOGL,7,3,2,10000.0,scale,20000,0.5,0.6071428571428571,0.66
TSLA,3,3,2,1000.0,scale,500,0.5,0.5166666666666667,0.5517241379310345
TSLA,3,3,2,10000.0,scale,500,0.5,0.5166666666666667,0.5517241379310345
TSLA,3,3,2,100000.0,scale,500,0.5,0.5166666666666667,0.5517241379310345
TSLA,3,3,2,1000.0,scale,1000,0.5,0.5666666666666667,0.5689655172413793
GOOGL,7,7,1,1000.0,scale,500,0.5,0.6964285714285714,0.66
GOOGL,3,14,0,1000.0,scale,500,0.5,0.5166666666666667,0.4423076923076923
TSLA,3,3,2,100000.0,scale,1000,0.5,0.5666666666666667,0.5689655172413793
TSLA,3,3,2,1000.0,scale,10000,0.5,0.5333333333333333,0.5517241379310345
TSLA,3,3,2,10000.0,scale,10000,0.5,0.5333333333333333,0.5517241379310345
TSLA,3,3,2,10000.0,scale,1000,0.5,0.5666666666666667,0.5689655172413793
GOOGL,7,3,2,100000.0,scale,20000,0.5,0.6071428571428571,0.66
AMZN,3,14,2,1000.0,scale,1000,0.5227272727272727,0.5333333333333333,0.5925925925925926
AMZN,3,14,2,10000.0,scale,1000,0.5227272727272727,0.5333333333333333,0.5925925925925926
AMZN,3,14,2,100000.0,scale,1000,0.5227272727272727,0.5333333333333333,0.5925925925925926
GOOGL,7,3,1,100000.0,scale,500,0.5227272727272727,0.625,0.68
AAPL,3,14,2,1000.0,scale,500,0.5227272727272727,0.5833333333333334,0.6730769230769231
GOOGL,14,7,2,1000.0,scale,10000,0.5227272727272727,0.6530612244897959,0.5
GOOGL,14,7,2,10000.0,scale,10000,0.5227272727272727,0.6530612244897959,0.5
GOOGL,14,7,2,100000.0,scale,10000,0.5227272727272727,0.6530612244897959,0.5
GOOGL,14,7,2,1000.0,scale,20000,0.5227272727272727,0.6530612244897959,0.5
GOOGL,14,7,2,10000.0,scale,20000,0.5227272727272727,0.6530612244897959,0.5
GOOGL,14,7,2,100000.0,scale,20000,0.5227272727272727,0.6530612244897959,0.5
AMZN,3,14,2,100000.0,scale,500,0.5227272727272727,0.5333333333333333,0.5925925925925926
AMZN,3,14,2,10000.0,scale,500,0.5227272727272727,0.5333333333333333,0.5925925925925926
AMZN,3,14,2,1000.0,scale,500,0.5227272727272727,0.5333333333333333,0.5925925925925926
GOOGL,7,3,1,10000.0,scale,500,0.5227272727272727,0.625,0.68
