,close,open,high,low,adjusted close,volume,WILLR_14,SMI_7_14_5,SMIs_7_14_5,SMIo_7_14_5,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,CCI_14_0.015,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9,DMP_14,DMN_14,CFO_14,CMO_14,ER_14,MOM_14,ROC_14,STC_14_14_28_0.5,STCmacd_14_14_28_0.5,STCstoch_14_14_28_0.5,SLOPE_14,BULLP_14,BEARP_14,BBL_14_2.0,BBM_14_2.0,BBU_14_2.0,BBB_14_2.0,BBP_14_2.0,SMA_14,EMA_14,VWAP_D,HMA_14,CMF_20
2011-09-16,239.3,227.57,240.44,226.74,11.965,11753000.0,-3.0087094220110466,0.4022518233365848,0.3174511892966133,0.08480063403997151,99.11114734706901,93.34055414727385,230.8874940179912,5.394101626467631,2.3568310204312506,3.03727060603638,3.0863097232044616,1.2025443934858622,4.753746045012272,41.588042775874854,0.5929491927121906,40.03,20.088322376674864,1e-08,5.925490445578021,0.0,2.8592857142857144,22.635701866843846,8.935701866843857,201.5620533552962,217.47785714285715,233.3936609304181,14.63671198222829,1.1855495062774661,217.47785714285715,217.80429813315615,235.4933333333333,226.38488888888887,0.3637859742314982
2011-09-19,241.69,237.11,244.0,232.8801,12.0845,8223300.0,-5.82177798611847,0.46460995789688103,0.36650411216336926,0.09810584573351178,100.0,97.89068608314194,207.87748020230612,6.409987542542268,2.6981735492047103,3.711813993337558,3.1201447429755715,1.116648365379729,3.7666905067293426,43.6500053902883,0.561302681992337,35.16,17.024161138817604,0.0,7.054306397082144,0.0,2.511428571428571,23.010941617931337,11.891041617931336,200.98052613307195,219.9892857142857,238.99804529549945,17.28153216143595,1.0708082684985134,219.9892857142857,220.98905838206866,239.52336666666665,232.41516666666666,0.44968233634681093
2011-09-20,233.25,240.8,241.05,231.03,11.6625,7385500.0,-27.194535795598274,0.4197250068440012,0.3842444103902466,0.03548059645375462,83.72265352646073,94.27793362450994,126.0531692505455,6.661747968601759,2.3599471802113605,4.301800788390398,2.8972772613344593,1.1690377678526056,-0.6218955749502162,26.647777593896464,0.3348328085170191,22.330000000000013,10.586952399013851,0.0,7.357012542805421,0.0,1.5950000000000009,18.42614940220716,8.406149402207149,202.14468296366087,221.58428571428573,241.02388846491058,17.546012063049083,0.8000502231286413,221.58428571428573,222.62385059779285,235.11,236.84440476190477,0.4464241597549428
2011-09-21,231.87,234.51,240.52,231.81,11.5935,5881500.0,-30.685555274475075,0.37818090289359807,0.38222324122469714,-0.004042338331099071,64.9699452050747,82.89753291051183,99.13983346338388,6.716205120687988,1.9315234658380716,4.7846816548499165,2.6903288855248553,1.085535070148848,-1.9699462137035293,24.062180114356124,0.2609786700125472,16.640000000000015,7.7312642289643705,50.0,7.444786811719553,50.0,1.1885714285714297,16.663329481912882,7.953329481912874,203.0006928295425,222.77285714285716,242.54502145617184,17.750963530207283,0.730049242788681,222.77285714285716,223.85667051808713,234.73333333333332,238.82330158730156,0.3504217865151011
2011-09-22,223.23,224.72,228.79,219.0,11.1615,8254600.0,-52.54237288135596,0.27293579127068635,0.3457940912400269,-0.07285829996934057,31.846123550956758,60.179574094164074,7.970244224133533,6.181572414380014,1.1175126076240778,5.064059806755936,2.498162536558794,1.9229968508525024,-5.314441863292843,9.051076003002562,0.15334959116339109,10.689999999999998,5.029641479250964,75.0,6.891015825839077,70.94058203,0.7635714285714285,5.016885550991134,-4.773114449008858,204.59577145936416,223.5364285714286,242.47708568349302,16.946371768673178,0.49191082522597873,223.5364285714286,223.77311444900886,223.67333333333332,237.38159523809523,0.3269198194898416
2011-09-23,223.61,220.51,224.49,219.061,11.1805,6468100.0,-51.581077662534746,0.20689167453783885,0.2994932856726309,-0.09260161113479204,15.495807842506478,37.43729219951266,-11.21012938672531,5.714012120040252,0.5199618506274524,5.1940502694127995,2.319722355376023,1.7856399329344663,-4.279133951331031,9.569331013558335,0.20148038490007403,13.610000000000014,6.480952380952387,87.5,6.405274034235845,76.85078058,0.9721428571428581,0.7386341441923037,-4.690365855807698,207.11268216514577,224.50857142857146,241.90446069199714,15.496859788233323,0.47417288030050114,224.50857142857146,223.7513658558077,222.38700000000006,234.25149206349207,0.3760142973044624
2011-09-26,229.85,227.48,230.24,221.4,11.4925,5794100.0,-40.02828854314006,0.19653276532787686,0.26517311222437956,-0.0686403468965027,9.54638780106613,18.962773064843137,23.60717088167805,5.65215250487833,0.3664817883724245,5.285670716505906,2.5647421871348786,1.6580942234391474,-1.528077317505222,17.847813726970767,0.20218902529211624,13.669999999999987,6.323434175224343,93.75,6.35608675839751,77.88710463,0.9764285714285705,5.675482924966644,-3.164517075033359,208.53990083492133,225.48499999999999,242.43009916507864,15.029912557446092,0.6287983020186635,225.48499999999999,224.56451707503336,227.16333333333336,231.6014920634921,0.3781455929576002
2011-09-27,224.21,234.22,234.75,222.4,11.2105,7837500.0,-55.98302687411597,0.14450846979414148,0.22495156474763353,-0.08044309495349206,9.336876121850738,11.459690588474464,17.717835559772396,5.2124661222927955,-0.0585636753704879,5.271029797663283,2.703689173768101,1.5396589217649226,-3.5799346276130803,8.205861255342375,0.061987631238314404,4.310000000000002,1.9599818099135982,93.29446185,5.8949164575863335,72.30954964,0.307857142857143,10.232751868304405,-2.1172481316955896,209.11024099212355,225.79285714285714,242.47547329359074,14.776921078755516,0.4525596846275357,225.79285714285714,224.5172481316956,227.12,228.65019841269842,0.2912229466024843
2011-09-28,229.71,226.35,235.81,225.6,11.4855,14436900.0,-40.42432814710041,0.14240817826740015,0.19743710258755576,-0.0550289243201556,15.461849969808583,11.448371297575164,42.2040525802856,5.134076149874346,-0.10956291823115016,5.243639068105496,2.5862828042132366,1.4296832844959995,-1.0077302437234248,15.469052232039166,0.1719850808122671,12.450000000000017,5.730461198563941,90.76531208,5.822616592264353,68.72459206,0.8892857142857155,10.600384952530476,0.3903849525304679,210.59713088312972,226.68214285714288,242.76715483115603,14.191688653790496,0.5941204503841501,226.68214285714288,225.20961504746953,230.37333333333333,226.93821428571428,0.22507071641333734
2011-09-29,222.44,234.17,234.3,216.29,11.122,9378500.0,-60.990099009901,0.08667815119602645,0.16051745212371268,-0.07383930092768623,6.8306449993016285,10.543123696986997,-31.25782290415191,4.589648876700295,-0.5231921531241612,5.112841029824456,2.4015483181980053,1.9925630498891427,-2.836463123281957,3.779920559856399,0.14974928852147998,11.050000000000011,5.227304981314164,83.26085776,5.242782755259611,59.00446921,0.7892857142857151,9.459666958859742,-8.550333041140277,213.52283753732053,227.4714285714286,241.42001960553665,12.264037836934802,0.3196438421943337,227.4714285714286,224.84033304114027,224.34333333333333,225.0662142857143,0.16718669468500127
