,date,4. close,1. open,2. high,3. low,6. volumn,SMA_10,EMA_10,SMA_20,EMA_20,SMA_30,EMA_30,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,HMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,WILLR_14,CCI_20_0.015,MOM_10,BULLP_13,BEARP_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,UO_7_14_28,s_SMA_10,s_EMA_10,s_SMA_20,s_EMA_20,s_SMA_30,s_EMA_30,s_SMA_50,s_EMA_50,s_SMA_100,s_EMA_100,s_SMA_200,s_EMA_200,s_HMA,s_MACD,s_RSI,s_STOCHRSI,s_WILLR,s_MOM,s_ERI,s_CCI,s_BBANDS,s_UO,SELL,NEU,BUY
2705,2010-08-04,25.73,26.15,26.24,25.44,78531900.0,25.991999999999983,25.864413135563893,25.51147500000004,25.6231055891298,25.008333333333383,25.59894001067484,25.338150000000038,25.91253924381667,27.522765000000117,26.74630903513068,28.38365000000008,26.96741208683889,26.06681481465957,51.77611271165754,0.21987838386050385,0.09109146140348065,0.1287869224570232,71.11274633320943,76.76544375416695,-39.766081871344994,47.41350163417091,0.6099999999999994,0.46484261142112615,-0.335157388578871,25.5704753687218,26.01199999999996,26.45352463127812,3.394776497602341,0.18065201800451602,58.078215433527156,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1.0,0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,8,6,8
2706,2010-08-05,25.37,25.49,25.58,25.21,64922100.0,25.944999999999983,25.774519838188642,25.559500000000043,25.599000294926963,25.01040000000005,25.584169687405495,25.324150000000035,25.891263195039546,27.483565000000116,26.719055390870665,28.37870000000008,26.951517439208654,25.809962962807656,47.56391728136499,0.16892952426006502,0.03211408144243347,0.13681544281763156,37.779412999876094,62.65371529691533,-60.81871345029232,-21.04220328908231,-0.46999999999999886,-0.1372777616390337,-0.5072777616390312,25.205670703568913,25.87999999999996,26.554329296431007,5.211200126978733,0.12184647567651054,56.722295547634594,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,0.0,0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,12,8,2
2707,2010-08-06,25.55,25.18,25.56,25.02,55982100.0,25.918999999999983,25.73369804942707,25.623500000000043,25.594333600172014,25.02873333333338,25.58196519144385,25.334950000000035,25.877880324645837,27.44536500000012,26.695905779170257,28.374600000000083,26.937571992052348,25.547259259103885,49.764532963664934,0.1414461781427967,0.003704588260132119,0.13774158988266458,17.065741117080123,41.98596681672192,-50.29239766081866,-36.06108958285896,-0.259999999999998,-0.13338093854774158,-0.6733809385477407,25.101980716492744,25.827999999999964,26.554019283507184,5.621955114660224,0.30854503019739804,61.45841605259642,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1.0,0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,13,6,3
2708,2010-08-09,25.61,25.55,25.73,25.37,57096500.0,25.869999999999983,25.711207494985782,25.66250000000004,25.59582563825087,25.064650000000047,25.583773888770054,25.32715000000003,25.867375213875412,27.40516500000012,26.674402694434214,28.36975000000008,26.92436232048964,25.41011111095567,50.5101122958806,0.12308804453931899,-0.011722836274676462,0.13481088081399545,14.012741982762345,22.952632033239563,-55.74912891986072,-9.759876065065484,-0.490000000000002,0.04853062410193587,-0.31146937589806356,25.15430574854521,25.683999999999962,26.213694251454715,4.124702160526039,0.43014838296174746,62.17811105438283,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0.0,-1,0.0,1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,11,5,6
2709,2010-08-10,25.07,25.33,25.34,24.88,87257700.0,25.760999999999985,25.594624314079276,25.659500000000044,25.5457470060365,25.089983333333386,25.55062718626876,25.312550000000034,25.836105597645005,27.35976500000012,26.642632344049378,28.362150000000078,26.905910954116607,25.250814814659304,44.1579765073716,0.06422525559597503,-0.05646850017441633,0.12069375577039136,14.012741982762345,15.030408360868313,-87.58169934640516,-107.17169114489478,-1.0899999999999999,-0.25411660791262847,-0.7141166079126293,25.00685296470043,25.465999999999962,25.925147035299496,3.60596116625724,0.06876559189626126,57.983391856543044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,14,5,3
2710,2010-08-11,24.86,24.68,24.9,24.56,76746900.0,25.651999999999987,25.461056256973954,25.63050000000004,25.480437767366357,25.141650000000052,25.506070593606257,25.29195000000003,25.797826946756967,27.31246500000012,26.607332693672163,28.346350000000076,26.885553631190074,25.03929629614071,41.94860291417769,0.000623637414200573,-0.09605609468495263,0.0966797320991532,8.02133068442787,12.01560488331756,-83.78378378378376,-152.88951619226927,-1.0899999999999999,-0.5892428067822557,-0.9292428067822556,24.71951069876909,25.291999999999963,25.864489301230837,4.527038599010556,0.12270037267845317,53.99524036559129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,14,6,2
2711,2010-08-12,24.49,24.42,24.6825,24.36,70240500.0,25.497999999999987,25.28450057388778,25.579500000000042,25.386110360950514,25.19098333333339,25.440517652083273,25.252550000000028,25.746539615511594,27.26136500000012,26.565405313599445,28.325400000000073,26.861717276650868,24.7125555553999,38.31149484622982,-0.07872946671584202,-0.14032735905199617,0.061597892336154154,6.987003568307652e-14,7.344690889063469,-93.6585365853659,-172.34388095411913,-1.5400000000000027,-0.6639938343847867,-0.9864938343847882,24.271289398655153,25.11599999999996,25.96071060134477,6.726473971530571,0.12945889455906615,51.120058676008426,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,14,6,2
2712,2010-08-13,24.4,24.35,24.67,24.24,45263500.0,25.35699999999999,25.123682287726364,25.555000000000042,25.292195088479037,25.232316666666723,25.373387480981126,25.203350000000032,25.69373414039349,27.20656500000012,26.52252600045886,28.30445000000007,26.83722257738071,24.3992222220665,37.46067086317505,-0.14718298742495506,-0.16702470380888737,0.019841716383932312,6.987003568307652e-14,2.6737768948093774,-92.62672811059907,-163.15383810221627,-1.4100000000000001,-0.5412804294726747,-0.971280429472678,24.01343137804291,24.88599999999996,25.75856862195701,7.012526094648011,0.22151187438419978,51.06166190703555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,15,5,2
2713,2010-08-16,24.5,24.36,24.61,24.3,40909700.0,25.17399999999999,25.010285508139752,25.51850000000004,25.21674793719532,25.273316666666723,25.31703990156299,25.177550000000032,25.64692103684865,27.155065000000118,26.482475980647795,28.28685000000007,26.81396663133712,24.23399999984421,39.07955535967195,-0.19116015621499827,-0.16880149807914446,-0.022358658135853804,2.4148310838323575,0.8049436946108735,-88.01843317972343,-140.94817127538684,-1.8299999999999983,-0.49966893954800895,-0.8096689395480077,24.15009728544834,24.663999999999962,25.177902714551585,4.167229277908075,0.3404367253215899,53.144542954922215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,14,6,2
2714,2010-08-17,24.71,24.71,24.96,24.6,52912600.0,25.02899999999999,24.955688143023433,25.48000000000004,25.168486228891002,25.302983333333387,25.277876036946022,25.165950000000034,25.610179035403604,27.102065000000117,26.44737744637754,28.269300000000065,26.793031639980533,24.278148147992294,42.44871543432445,-0.2066846029169973,-0.1474607558249148,-0.059223847092082504,9.855315629837463,4.090048904556672,-78.3410138248847,-92.50950981779424,-1.4499999999999993,-0.09257337675543553,-0.45257337675543496,24.25557170151206,24.591999999999963,24.928428298487866,2.736079200454644,0.6753716921709556,48.35298302761152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,14,7,1
2715,2010-08-18,24.82,24.68,24.95,24.41,46818900.0,24.93799999999999,24.931017571564627,25.46500000000004,25.135297064234717,25.320316666666724,25.248335647465634,25.160150000000034,25.579191622250523,27.05366500000012,26.415152150409668,28.25475000000007,26.773399484358837,24.469851851695932,44.18984030873734,-0.2077173220947266,-0.11879478000211527,-0.08892254209261133,19.89297278245161,10.721039832040518,-72.89719626168217,-87.98792888539019,-0.9100000000000001,-0.06934860864751613,-0.6093486086475153,24.272461880304704,24.583999999999964,24.895538119695225,2.5344786828446217,0.8787658477089193,50.454901154174415,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,14,7,1
