,date,4. close,1. open,2. high,3. low,6. volumn,SMA_10,EMA_10,SMA_20,EMA_20,SMA_30,EMA_30,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,HMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,WILLR_14,CCI_20_0.015,MOM_10,BULLP_13,BEARP_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,UO_7_14_28,s_SMA_10,s_EMA_10,s_SMA_20,s_EMA_20,s_SMA_30,s_EMA_30,s_SMA_50,s_EMA_50,s_SMA_100,s_EMA_100,s_SMA_200,s_EMA_200,s_HMA,s_MACD,s_RSI,s_STOCHRSI,s_WILLR,s_MOM,s_ERI,s_CCI,s_BBANDS,s_UO,SELL,NEU,BUY
820,2003-02-07,21.44,22.1,22.11,21.2,6942900.0,21.859999999999985,21.840336110728533,21.816000000000038,21.734493195855368,21.281,21.646911015672597,21.809000000000037,21.370198628081916,20.347499999999982,20.324830359854513,18.26254999999979,18.674935278303334,22.00581481482003,47.3516220508111,0.13647074836325146,0.00038766652361149623,0.13608308183963996,61.875053007987276,77.96988187993844,-63.13993174061427,-48.721961398019054,-0.6699999999999982,0.3020387133153015,-0.6079612866846986,21.432760525834013,21.98199999999998,22.53123947416595,4.997174726284862,0.0065904532599206905,42.79156118797249,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,0.0,0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,8,7,7
821,2003-02-10,21.4,21.4,21.41,20.57,8096500.0,21.821999999999985,21.76027499968698,21.820000000000036,21.702636701012,21.317666666666664,21.63098127272598,21.769000000000037,21.371367309333603,20.387999999999987,20.346120847778185,18.285449999999788,18.702050350161013,21.686444444449673,46.92718360250848,0.09290841948338979,-0.03453972988500015,0.12744814936838994,28.90744225911092,60.00045296988375,-69.48529411764711,-139.4929385741027,-0.38000000000000256,-0.33968110287259634,-1.1796811028725962,21.155552077635466,21.829999999999984,22.504447922364502,6.179092280023073,0.1812207542337242,50.80933887644413,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,0.0,-1,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,9,7,6
822,2003-02-11,20.78,21.56,21.6,20.69,6679000.0,21.737999999999985,21.582043181562074,21.757000000000033,21.61476653901086,21.381666666666664,21.576079255130754,21.70300000000004,21.348176434457777,20.418499999999984,20.354712514158816,18.30479999999979,18.72272646607981,21.208037037042278,40.81965427294718,0.008260914868305491,-0.09534978760006756,0.10361070246837305,-1.0421293457814802e-13,30.260831755699385,-92.27941176470586,-136.07484571411243,-0.8399999999999999,-0.011155231033651347,-0.9211552310336515,20.556149030504184,21.575999999999986,22.59585096949579,9.453568497365621,0.10974690233735117,46.415025028611026,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,10,6,6
823,2003-02-12,21.03,20.79,21.2,20.66,5433900.0,21.678999999999984,21.481671694005335,21.67150000000003,21.55907448767649,21.440999999999995,21.5408483354449,21.65660000000004,21.33569892722414,20.456699999999984,20.368084543581414,18.329049999999793,18.745684411690956,20.870740740745997,43.98539505443708,-0.03820947666623198,-0.11345614330768401,0.07524666664145203,6.981332567900881,11.962924942337253,-83.08823529411761,-130.61465721040224,-0.5899999999999999,-0.32813305517170477,-0.8681330551717039,20.460090094670754,21.347999999999985,22.235909905329216,8.318436437410824,0.3209277776431205,46.681572451886424,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,11,5,6
824,2003-02-13,20.06,20.95,21.0,19.61,11576800.0,21.502999999999986,21.22318593145891,21.561000000000032,21.416305488850156,21.479999999999997,21.44530973315813,21.57560000000004,21.28567151831339,20.498699999999985,20.361983859550097,18.34589999999979,18.758762178738806,20.43496296296824,35.9499104275934,-0.15156138482957004,-0.18144644117681766,0.02988505634724762,6.981332567900881,4.654221711933907,-84.42906574394466,-218.64226995492012,-1.7600000000000016,-0.3183997615757477,-1.7083997615757482,19.934158742667563,20.941999999999986,21.94984125733241,9.625071696422726,0.06243109042068548,42.33330620455366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,12,5,5
825,2003-02-14,20.06,19.99,20.23,19.71,6625300.0,21.323999999999987,21.01169758028456,21.474000000000032,21.287133537531094,21.496333333333325,21.355934911664058,21.502000000000038,21.237605968575608,20.538799999999988,20.356003981143164,18.363749999999794,18.771709818751354,20.05633333333862,35.9499104275934,-0.23864266461760764,-0.2148221767718842,-0.023820487845723437,6.981332567900881,6.981332567900902,-84.42906574394466,-198.72639437856887,-1.7900000000000027,-0.9086283670649244,-1.428628367064924,19.600647476193238,20.665999999999986,21.731352523806734,10.310195720572425,0.21558710076801108,45.13232436563629,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,13,5,4
826,2003-02-18,21.39,20.15,21.41,20.15,7899900.0,21.246999999999986,21.080479838414643,21.473500000000033,21.296930343480515,21.525333333333325,21.358132659298633,21.46200000000004,21.243582205102054,20.59339999999999,20.376479149833397,18.389099999999793,18.797762457370744,20.201518518523816,50.36817771177202,-0.1980522979031889,-0.13938544804597236,-0.058666849857216534,24.048471036143116,12.670378723981647,-38.40830449826987,-62.67432663086527,-0.7699999999999996,0.23546139965863588,-1.0245386003413657,19.604143405935584,20.663999999999984,21.723856594064383,10.258000329698028,0.8424991664277476,54.22627408279664,1,1,-1,1,-1,1,-1,1,1,1,1,1,0.0,0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,5,7,10
827,2003-02-19,21.19,21.15,21.25,21.02,5470800.0,21.160999999999984,21.100392595066527,21.479000000000035,21.286746501244277,21.54166666666666,21.347285390956785,21.434200000000043,21.241480942156876,20.64799999999999,20.392588473599073,18.41479999999979,18.821565816003872,20.597518518523827,48.59659194561411,-0.1799481382505448,-0.0970250307146626,-0.08292310753588218,45.14208431124025,25.390629305094766,-45.32871972318334,-42.9561982073405,-0.8599999999999994,0.07325262827882995,-0.15674737172117048,19.602769489568402,20.745999999999984,21.889230510431567,11.021213828512321,0.6941865599057542,56.48777686467091,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,0.0,0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,8,7,7
828,2003-02-20,21.36,21.19,21.5,21.09,4169800.0,21.079999999999984,21.147593941418066,21.488500000000034,21.2937230249353,21.535333333333327,21.348105688314412,21.40920000000004,21.246128748346802,20.690099999999987,20.4117451374882,18.440999999999793,18.846823867585922,21.101962962968287,50.19998152447297,-0.1501520229870721,-0.05378313236095192,-0.09636889062612017,68.91001809148938,46.03352447962427,-39.44636678200693,-23.22843074288194,-0.8100000000000023,0.2970736813818533,-0.11292631861814684,19.57643373306742,20.811999999999983,22.047566266932545,11.873594723549518,0.721760667422756,54.22751020170005,1,1,-1,1,-1,1,-1,1,1,1,1,1,0.0,0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,5,7,10
829,2003-02-21,21.78,21.35,21.83,21.04,7207800.0,21.048999999999985,21.262576861160237,21.488000000000035,21.340035117798603,21.56066666666666,21.37596983745542,21.41120000000004,21.267064875862612,20.73779999999999,20.438839293181502,18.469349999999793,18.876009699749247,21.56759259259793,54.01623101946381,-0.09159208056711776,0.003821448047201928,-0.09541352861431969,74.99466769460777,63.01559003244582,-24.913494809688537,7.51392667443922,-0.3099999999999987,0.5446345840415852,-0.245365415958414,19.993891571331815,21.155999999999985,22.318108428668154,10.986088378409626,0.7684775295516744,63.0969837348575,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,2,6,14
830,2003-02-24,21.78,21.64,22.18,21.64,6936600.0,21.082999999999984,21.35665379549474,21.47150000000003,21.381936535151116,21.57166666666666,21.402036299555068,21.40960000000004,21.28717997876996,20.79629999999999,20.465396930940283,18.491649999999794,18.90490512562239,21.86496296296831,54.01623101946381,-0.04466799940541932,0.0405964233671203,-0.08526442277253962,84.17179465365781,76.02549347991834,-24.913494809688537,54.61444640195043,0.33999999999999986,0.8239725006070735,0.28397250060707435,21.022841745348313,21.499999999999982,21.977158254651652,4.438681438620187,0.7934037054482288,59.92594007299893,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,0.0,2,5,15
831,2003-02-25,21.88,21.5,22.0,21.4,5624000.0,21.130999999999982,21.451807650859333,21.476500000000033,21.429371150851008,21.590333333333323,21.432872667325707,21.404800000000044,21.310427822739765,20.845599999999994,20.493408872901863,18.512399999999793,18.934508059695798,22.04137037037573,54.96911024889909,0.0005821268540913138,0.06867723970130475,-0.06809511284721344,92.27118296173427,83.81254843666663,-21.453287197231866,41.88997297421073,0.4800000000000004,0.5691192862346348,-0.030880713765366608,21.054765244132383,21.59799999999998,22.14123475586758,5.030417222590965,0.7595562939908335,66.5976626217953,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,0.0,2,6,14
832,2003-02-26,21.64,21.63,21.98,21.62,4121300.0,21.216999999999985,21.48602444161218,21.47750000000003,21.44943104124615,21.57699999999999,21.44623572104663,21.392800000000047,21.32335222184801,20.891899999999993,20.516113647695885,18.535899999999792,18.96142837750977,22.029740740746117,52.1747060092705,0.016882571908077182,0.06798214780423249,-0.05109957589615531,90.57388109879109,89.0056195713944,-29.268292682926813,38.649639994566144,0.8599999999999994,0.5192451024868312,0.15924510248683177,21.32613814793173,21.68799999999998,22.049861852068233,3.3369776103675033,0.4336763467527283,63.67890533122571,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,0.0,2,6,14
833,2003-02-27,21.62,21.66,21.77,20.25,5076300.0,21.275999999999986,21.51038363404633,21.47750000000003,21.465675703984612,21.53966666666666,21.457446319688785,21.381600000000045,21.334985468050046,20.94059999999999,20.537972783385076,18.55739999999979,18.987881826489772,21.903444444449843,51.93775577556789,0.027865740290451413,0.06317225294928538,-0.035306512658833965,88.32367712657533,90.38958039570025,-21.789883268482438,-30.683403068340482,0.5899999999999999,0.28649580213156867,-1.233504197868431,21.5456806752231,21.739999999999984,21.93431932477687,1.787666281296088,0.19122988632817156,64.82649305887519,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,0.0,2,6,14
834,2003-02-28,22.01,21.57,22.02,21.43,4687100.0,21.470999999999982,21.601222973310634,21.48700000000003,21.517516113128934,21.53099999999999,21.493094944224993,21.371600000000043,21.36145662616573,20.99519999999999,20.56712183717943,18.573399999999793,19.01795265408689,21.866407407412822,56.12240659480329,0.0672643395610848,0.082056681775935,-0.01479234221485021,89.7896883715831,89.56241553231654,-6.614785992217826,52.44973095440442,1.9500000000000028,0.46128211611277337,-0.1287178838872265,21.492170117275887,21.785999999999984,22.07982988272408,2.697419285083056,0.8811729391226546,69.56046780691905,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,0,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,4,4,14
835,2003-03-03,21.81,22.15,22.61,21.74,4480300.0,21.645999999999983,21.6391824327087,21.48500000000003,21.54537172140237,21.531333333333325,21.51354043169435,21.35860000000004,21.379046562394524,21.04689999999999,20.591733285948155,18.58274999999979,19.04573421971787,21.859185185190615,53.54759633037614,0.0814112268578917,0.07696285525819353,0.004448371599698173,90.4325480706757,89.51530452294473,-26.666666666666693,81.87917964519711,1.75,1.0153846709538072,0.14538467095380625,21.497680445805255,21.791999999999984,22.086319554194713,2.701170651566898,0.5305790079922886,61.35607655720374,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,0.0,2,5,15
836,2003-03-04,22.27,21.7,22.35,21.36,5434300.0,21.733999999999984,21.753876535852573,21.49050000000003,21.614383938411667,21.560333333333325,21.562344274810844,21.362000000000045,21.413985912888858,21.10019999999999,20.624966290186805,18.596049999999792,19.07781646628784,22.010851851857293,58.287678071369996,0.1282623638926239,0.09905119383434059,0.02921117005828332,95.74534514207757,91.98919386144547,-11.333333333333329,75.82906214996085,0.879999999999999,0.6589011465318357,-0.33109885346816625,21.381246483407324,21.869999999999983,22.358753516592643,4.4696252088949215,0.9092042168705124,64.12036597669032,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,0,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,4,4,14
837,2003-03-05,22.42,22.08,22.62,22.02,5160400.0,21.85699999999998,21.874989892970287,21.50900000000003,21.691109277610554,21.604999999999986,21.6176769022424,21.376600000000042,21.453437445716744,21.15579999999999,20.660511512163303,18.612349999999793,19.111072023837213,22.2358518518573,59.730690055645965,0.17547322779284968,0.1170096461876531,0.05846358160519659,95.74534514207757,93.97441278494362,-6.6445182724252225,117.11447009021367,1.2300000000000004,0.8247724113130026,0.22477241131300119,21.441863029777306,22.025999999999986,22.610136970222666,5.304067649347865,0.8372496692426595,66.3217410646866,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,2,5,15
838,2003-03-06,22.69,22.32,22.85,22.12,5427400.0,21.98999999999998,22.02317354879387,21.53500000000003,21.78624172736193,21.655666666666658,21.686859037581602,21.394400000000047,21.501930094904324,21.203099999999992,20.700699403011555,18.628849999999794,19.146683247480624,22.519518518523967,62.26143371682902,0.23200056301048733,0.1388295851242326,0.09317097788625472,99.99999999999987,97.16356342805169,-5.0955414012738895,137.2704662115673,1.3300000000000018,0.9269477811254312,0.19694778112543077,21.62446771004166,22.239999999999984,22.855532289958308,5.535362319769105,0.8655372815863854,68.39538043873577,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,2,5,15
839,2003-03-07,22.97,22.32,23.04,22.26,5848400.0,22.10899999999998,22.19532381264953,21.57900000000003,21.898980610470318,21.694999999999993,21.769642325479563,21.409000000000045,21.559501463731607,21.248199999999986,20.745636048496475,18.64989999999979,19.18472620024201,22.83581481482027,64.73645474475524,0.2959806625341592,0.1622477477183236,0.13373291481583563,99.99999999999987,98.5817817140258,-2.4221453287197328,151.67633784655018,1.1899999999999977,0.9673838123932263,0.18738381239322877,21.64751035699527,22.43199999999998,23.216489643004692,6.994379841340158,0.8428980897309226,72.98539309805084,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,3,4,15
840,2003-03-10,22.88,22.6,22.96,22.55,4406000.0,22.21899999999998,22.319810392167795,21.65100000000003,21.992411028520763,21.72066666666666,21.84127830448088,21.429000000000045,21.611285720055857,21.28499999999999,20.787900681199517,18.670549999999793,19.221495093771942,23.044000000005468,63.29943579020354,0.33555503495260197,0.16145769610941307,0.1740973388431889,97.03215371688655,99.0107179056288,-5.734767025089613,135.45554335894647,1.0999999999999979,0.7720432677656248,0.3620432677656247,22.113744422310205,22.64599999999998,23.178255577689754,4.700658638962951,0.7198192088617309,69.77996589901046,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,2,4,16
841,2003-03-11,22.78,22.75,22.92,22.52,4034100.0,22.30899999999998,22.40348122995547,21.720000000000034,22.067419501994976,21.753999999999994,21.901840994514373,21.478600000000046,21.657117652602686,21.323399999999992,20.827348192462892,18.687199999999795,19.25690310278914,23.094481481486962,61.661599297570845,0.3547594004091863,0.14452964925279793,0.21022975115638837,89.98125629358275,95.67113667015643,-9.318996415770542,114.89436004889069,0.9000000000000021,0.6474656580848226,0.24746565808482046,22.36992064327567,22.747999999999983,23.126079356724297,3.3240667902612446,0.5423191579107444,67.84550859847732,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,2,5,15
842,2003-03-12,23.36,22.51,23.38,22.49,5573100.0,22.480999999999984,22.57739373359993,21.849000000000036,22.190522406566885,21.811999999999994,21.99591576906183,21.568600000000046,21.72389735250062,21.362099999999995,20.877499713404223,18.706649999999794,19.297729937587256,23.199111111116604,66.99562278233563,0.4120305197793428,0.16144061489836353,0.25058990488097926,89.98125629358275,92.33155543468405,-0.6389776357827343,135.13422023628144,1.7199999999999989,0.9521134212155609,0.062113421215560294,22.472172445858188,22.935999999999982,23.399827554141776,4.044537444556979,0.9570664207137624,78.34218923926463,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,4,3,15
843,2003-03-13,24.42,23.68,24.59,23.13,11208900.0,22.760999999999985,22.91241305476358,22.01850000000004,22.402853605941466,21.905333333333324,22.1523083000901,21.672000000000047,21.829626868088834,21.418899999999997,20.947648233930874,18.733449999999795,19.348697798904794,23.647888888894396,74.09046966155869,0.5367639549579053,0.22893924006154082,0.3078247148963645,92.94910257669606,90.97053838795388,-3.917050691244197,196.87693471830474,2.8000000000000007,1.8775257896133368,0.417525789613336,22.077980066618018,23.281999999999982,24.486019933381947,10.342925293204752,0.9725835380496974,78.6712298933467,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,4,3,15
844,2003-03-14,24.71,24.54,24.9,24.2,8907800.0,23.030999999999985,23.239247044806564,22.251000000000037,22.62258183394704,22.001666666666658,22.317320667826223,21.788400000000046,21.94258267718339,21.4756,21.02215024910056,18.762449999999795,19.402044089462954,24.29588888889441,75.63372384452632,0.6515065157962887,0.27494544071993937,0.37656107507634934,99.99999999999987,94.31011962342626,-4.086021505376296,207.70624303233006,2.6999999999999993,1.9021649625257169,1.2021649625257176,22.042952426679975,23.629999999999985,25.217047573319995,13.432480519001363,0.8402544505142715,79.68459894361737,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,4,3,15
845,2003-03-17,26.55,24.47,26.84,24.4,15124900.0,23.50499999999999,23.84120212756901,22.575500000000037,22.99662165928542,22.15833333333332,22.590396753772918,21.928000000000047,22.123265709450706,21.5485,21.131612620405498,18.8033499999998,19.47316802887128,25.414407407412938,82.68196832946356,0.8807605846491953,0.4033596076582767,0.47740097699091855,99.99999999999987,97.64970085889864,-4.400606980273128,255.27226943657493,4.740000000000002,3.334712825022045,0.8947128250220437,21.76884759600104,24.363999999999983,26.959152403998925,21.303171925783477,0.9211698697601632,81.63726907332514,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,4,3,15
846,2003-03-18,26.78,26.46,26.84,26.1,8749800.0,23.955999999999985,24.375529013465552,22.845000000000038,23.356943406020143,22.31233333333332,22.86069373740047,22.053200000000047,22.30588274045264,21.6225,21.24346187544697,18.846099999999797,19.545872824603904,26.5295555555611,83.33104337298235,1.068686016546497,0.47302803164446283,0.5956579849020343,99.99999999999987,99.9999999999999,-0.9104704097116649,235.85517646820327,4.510000000000002,2.8668967071617537,2.1268967071617553,22.54919293255098,25.163999999999984,27.778807067448987,20.782125794380903,0.8090094141394113,82.67665864633321,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,4,3,15
