,close,open,high,low,adjusted close,volume,WILLR_14,SMI_7_14_5,SMIs_7_14_5,SMIo_7_14_5,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,CCI_14_0.015,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9,DMP_14,DMN_14,CFO_14,CMO_14,ER_14,MOM_14,ROC_14,STC_14_14_28_0.5,STCmacd_14_14_28_0.5,STCstoch_14_14_28_0.5,SLOPE_14,BULLP_14,BEARP_14,BBL_14_2.0,BBM_14_2.0,BBU_14_2.0,BBB_14_2.0,BBP_14_2.0,SMA_14,EMA_14,VWAP_D,HMA_14,CMF_20
2015-09-04,241.93,240.89,244.09,238.2,16.1286666666667,3689153.0,-28.84003032600453,0.002338338728104367,-0.03402493600261131,0.036363274730715676,79.92761172379895,78.92601488297281,5.2884849133423355,-2.9729325460762084,1.0790330234704673,-4.051965569546676,2.5424115644375034,4.101385490476022,0.5417151360193528,-4.7085545673738,0.12677150067947968,-13.060000000000002,-5.121769481156124,1.426e-05,-3.4449444114310666,9.5e-07,-0.932857142857143,1.4664478608663387,-4.423552139133676,216.1103385909739,240.5007142857143,264.89108998045475,20.28299647024309,0.5293001988196905,240.5007142857143,242.62355213913366,241.40666666666667,248.23333333333335,0.02022572261762101
2015-09-08,248.17,245.05,249.16,244.05,16.5446666666667,3138231.0,-19.009900990099005,0.028885208590542145,-0.013054887804893495,0.04194009639543564,84.18152704543785,80.3952250698632,53.66175967673587,-2.424036928685865,1.3023429126886485,-3.7263798413745137,2.72295359554911,3.808429384013449,1.083934399806526,2.6150283921486266,0.12122090215396542,-12.55000000000004,-4.813593126726005,7.13e-06,-2.850349302357074,4.8e-07,-0.8964285714285742,5.7969214794174775,0.6869214794174923,217.43052552760795,239.6042857142857,261.7780459009635,18.508650728492142,0.6931497908699454,239.6042857142857,243.36307852058252,247.12666666666667,248.89338888888892,0.01994440824088593
2015-09-09,248.91,252.05,254.25,248.303,16.594,3390788.0,-10.075062552126756,0.05098647109436271,0.008292231828191906,0.0426942392661708,90.43667335268594,84.84860404064095,84.7076877736449,-1.9157721796325404,1.448486129393579,-3.3642583090261193,2.892028338724174,3.536398713726774,-0.48129846129116427,3.4772185927925467,0.06417004048583,-6.340000000000003,-2.4838393731635664,3.56e-06,-2.2967302667377396,2.4e-07,-0.4528571428571431,10.14733194882848,4.200331948828477,218.04082479425767,239.1514285714286,260.2620323485995,17.654591405349443,0.7311296145665988,239.1514285714286,244.10266805117152,250.48766666666666,249.23599999999996,-0.01546448954419858
2015-09-10,248.48,247.23,250.7231,245.33,16.5653333333333,2709024.0,-10.792326939115926,0.06452309608868258,0.027035853248355463,0.03748724284032712,99.30186620520918,91.30668886777767,65.43550010336857,-1.5144656804699252,1.4798341028449555,-2.994299783314881,2.6854548859581615,3.4961559484605744,-1.7946831018305425,2.907083426442688,0.07311977715877419,6.299999999999983,2.6013708811627643,1.78e-06,-1.856575778072596,1.2e-07,0.4499999999999988,6.036787688984674,0.6436876889846985,217.98915314796702,239.60142857142858,261.2137039948902,18.04018911933879,0.7054057533186233,239.60142857142858,244.6863123110153,248.17770000000002,249.53865079365073,-0.031524067804503814
2015-09-11,250.24,247.64,250.24,244.73,16.6826666666667,2350844.0,-7.856547122602131,0.08413783529908979,0.0460698472652669,0.038067988033822886,99.52008631848547,96.41954195879356,60.579118514201355,-1.0731756188656334,1.5368993315593982,-2.6100749504250316,2.4936366798182927,3.289287666427678,-1.6677703690172578,5.20920442745683,0.25447653901450784,19.47,8.43697187676041,8.9e-07,-1.3710573214432884,6e-08,1.3907142857142856,4.8131959971200615,-0.6968040028799578,219.32634073415127,240.99214285714285,262.6579449801344,17.980504979230613,0.7134206038243889,240.99214285714285,245.42680400287995,248.40333333333334,250.09539682539676,-0.004276951619009144
2015-09-14,253.19,251.1,254.25,249.67,16.8793333333333,2890851.0,-4.462474645030401,0.11545747161452563,0.06919905538168648,0.04625841623283915,99.52008631848547,99.44734628072672,89.70934790346317,-0.5336398843054724,1.6611480528956473,-2.1947879372011196,2.601948345545557,3.0543385473971294,-0.4738395219852312,9.099657239180091,0.5079928952042627,34.31999999999999,15.68054096038744,4.4e-07,-0.7768016718739261,3e-08,2.451428571428571,7.788103197504029,3.208103197504016,224.7873589709131,243.44357142857143,262.0997838862298,15.326929643843354,0.7612113416254453,243.44357142857143,246.46189680249597,252.36999999999995,251.07850793650792,0.037072775389295626
2015-09-15,253.57,252.75,254.6,249.5,16.9046666666667,2933466.0,-3.498985801217025,0.1411455735839498,0.09318122811577426,0.047964345468175545,100.00000000000001,99.68005754565701,93.26187592129669,-0.07289007376408563,1.6975182907496273,-1.770408364513713,2.441094892292303,2.836171508297334,-0.031098766753683945,9.61426948924949,0.5022461814914644,33.53999999999999,15.243375903285912,2.2e-07,-0.2656960633996164,1e-08,2.395714285714285,7.190356104503479,2.090356104503485,231.7762958588725,245.83928571428572,259.902275569699,11.440799475603137,0.7748602667425832,245.83928571428572,247.40964389549652,252.5566666666667,252.3686825396825,0.02073465593402655
2015-09-16,262.25,253.04,262.88,252.88,17.4833333333333,4417081.0,-1.9644527595883865,0.211029882629532,0.1324641129536935,0.0785657696758385,100.00000000000001,99.84002877282853,203.61231284947738,0.8119377008556796,2.0658768522955144,-1.2539391514398346,2.8581595428428526,2.6335878291332384,2.8145444641154533,20.662973308265297,0.5295116772823778,37.41,16.638498487813553,1.1e-07,0.7078691155155354,0.0,2.6721428571428567,13.49164195723634,3.4916419572363395,237.5496303426635,248.51142857142855,259.47322680019363,8.821967095661648,1.12665682864513,248.51142857142855,249.38835804276366,259.33666666666664,255.2216031746032,0.019883704103778436
2015-09-17,262.07,263.96,265.5,260.69,17.4713333333333,3585812.0,-12.022432527164417,0.25860188951039437,0.1745100384725938,0.08409185103780056,99.62377528773119,99.8745917625771,203.51340092958225,1.5032988760359274,2.2057904219806095,-0.7024915459446821,2.841148146925506,2.4454744127665786,1.7184067506500662,20.334470585007864,0.36218678815489713,19.079999999999984,7.8521749866249575,6e-08,1.4753401530722101,0.0,1.3628571428571417,14.420756362938164,9.610756362938162,237.3624748043936,249.8742857142857,262.38609662417775,10.014484583018266,0.9873680705992828,249.8742857142857,251.07924363706184,262.75333333333333,258.48306349206354,0.03933219124002111
2015-09-18,260.62,257.96,263.82,257.5,17.3746666666667,3763064.0,-17.104801962846107,0.2790922603096661,0.20937077908495125,0.06972148122471486,96.06770838418038,98.56382789063723,134.229620706981,1.9573215585777461,2.1278504836179426,-0.1705289250401965,2.638208993573684,2.4986548118546796,0.18779394191880475,17.557973493507244,0.24958881578947392,12.140000000000015,4.885705086928531,3e-08,1.987710207256356,0.0,0.8671428571428582,11.468655514546384,5.148655514546391,237.10420879372808,250.74142857142854,264.37864834912904,10.877516216922768,0.8621915459896321,250.74142857142854,252.3513444854536,260.64666666666665,261.1745158730159,0.09112393639207034
